City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,haradok,55.4624,29.9816,12.53,59,68,4.54,BY,1694654059
317,fortuna,40.5982,-124.1573,20.52,78,0,6.17,US,1694654060
318,kuala tungkal,-0.8167,103.4667,26.72,74,12,4.31,ID,1694654060
319,keflavik,64.0049,-22.5624,8.24,76,75,4.12,IS,1694654060
320,tsiombe,-25.3,45.4833,19.62,83,97,6.15,MG,1694654060
321,supe,-10.8,-77.7333,18.37,84,42,4.91,PE,1694654061
322,namibe,-15.1961,12.1522,15.62,83,95,2.18,AO,1694654061
323,navirai,-23.065,-54.1906,14.79,91,100,3.45,BR,1694654061
324,funadhoo,6.15,73.2667,28.09,76,100,5.15,MV,1694654061
325,liboro,13.8245,122.7295,27.65,81,97,1.32,PH,1694654061
326,cill airne,52.05,-9.5167,13.87,97,100,1.54,IE,1694654062
327,enewetak,11.3474,162.3373,29.09,76,69,7.46,MH,1694654062
328,colares,38.7992,-9.4469,23.52,67,12,9.83,PT,1694654062
329,ellsworth,44.5434,-68.4195,20.16,97,100,2.06,US,1694654062
330,nemuro,43.3236,145.575,17.07,99,100,4.91,JP,1694654062
331,toliara,-23.35,43.6667,20.9,74,0,7.01,MG,1694654063
332,linqiong,30.4159,103.4609,23.9,73,3,0.56,CN,1694654063
333,merritt island,28.5392,-80.672,29.49,83,20,2.06,US,1694654063
334,huazhou,21.6333,110.5833,26.94,86,100,2.1,CN,1694654063
335,geneina,13.45,22.45,22.62,75,51,3.47,SD,1694654064
336,yanam,16.7333,82.2167,24.88,85,100,2.85,IN,1694654064
337,christchurch,-43.5333,172.6333,16.64,39,20,3.6,NZ,1694653461
338,tonghae,37.5439,129.1069,21.4,95,100,4.68,KR,1694654064
339,lensk,60.7253,114.9278,4.09,82,100,4.59,RU,1694654064
340,smirnykh,49.75,142.8333,17.87,46,100,4.72,RU,1694654065
341,jiuquan,39.7432,98.5174,18.17,34,95,1.39,CN,1694653851
342,carmo do paranaiba,-19.0008,-46.3161,21.71,41,0,1.82,BR,1694654065
343,chui,-33.6971,-53.4616,10.02,90,100,4.61,UY,1694654065
344,salalah,17.0151,54.0924,26.2,87,89,2.18,OM,1694654066
345,hermanus,-34.4187,19.2345,12.35,79,100,7.47,ZA,1694654066
346,colonia menno,-22.3667,-59.8167,15.37,64,87,1.91,PY,1694654066
347,crane,31.3974,-102.3501,26.13,54,4,4.59,US,1694654066
348,walvis bay,-22.9575,14.5053,12.27,89,0,5.89,NA,1694654066
349,manta,-0.95,-80.7333,24.88,83,75,4.63,EC,1694654067
350,gewane,10.1664,40.6453,29.02,47,93,2.06,ET,1694654067
351,cabo san lucas,22.8909,-109.9124,33.12,74,0,3.6,MX,1694653615
